company_id,name,country,razon,contactos_borrar
31772176419,Ithala Development Finance Corporation,South Africa,pais_excluido,111851962216
31772176434,Fonds de Garantie des Dépôts Bancaires,Tunisia,pais_excluido,111858049451
31772176440,Ezemvelo KZN Wildlife,South Africa,pais_excluido,111850696485
31772176441,Medco Plast,Egypt,pais_excluido,111844222287
31772176452,Habesha Breweries,Ethiopia,pais_excluido,111858284448
31772176455,South African National Space Agency,South Africa,pais_excluido,111859408677
31772176458,Greenland Group For Food Industries S.A.E,Egypt,pais_excluido,111859408674
31772176468,FDH Financial Holdings Limited,Malawi,pais_excluido,111853981727
31772176485,MPDC - Maputo Port Development Company,Mozambique,pais_excluido,111858902445
31772210697,Redpath Mining Contractors and Engineers - Africa,South Africa,pais_excluido,112046877106
31772210764,Société Tunisienne de l'Electricité et du Gaz (STEG),Tunisia,pais_excluido,112048253341
31772485235,EGYPTAIR,Egypt,pais_excluido,
31772485274,Beltone,Egypt,pais_excluido,
31772485382,Uganda National Roads Authority (UNRA),Uganda,pais_excluido,111851370815
31772485383,Halan - حالا,Egypt,pais_excluido,111851370813|111851733271
31772485385,Standard Bank Angola,Angola,pais_excluido,111853584156
31772485387,SA Home Loans,South Africa,pais_excluido,111851989308
31772643693,Hassan Allam Holding,Egypt,pais_excluido,111857404571|112047027605|112048796689|112057128509|112057151875|112057185867
31772794674,M-Gas,Kenya,pais_excluido,111851987208
31772794678,Botswana Meat Commission,Botswana,pais_excluido,111851730994
31772794698,Egytrans,Egypt,pais_excluido,111858312869
31772794700,Breede Valley Municipality,South Africa,pais_excluido,111857445516
31773504288,Stratcol Limited,South Africa,pais_excluido,111843725737
31773504328,EOH,South Africa,pais_excluido,
31773504354,Holw El Sham - حلو الشام,Egypt,pais_excluido,
31773504361,Smart Medical Services,Egypt,pais_excluido,
31773504371,Amathole District Municipality,South Africa,pais_excluido,111843726518|111853113266
31775324184,BANK OF AFRICA - Rwanda,Rwanda,pais_excluido,111850705972
31775324194,REDCON Construction Co. S.A.E,Egypt,pais_excluido,112047416936
31775324195,Confidentiel,Burkina Faso,pais_excluido,
31775324327,Mangal Industries Ltd. (Mangal Cement),Nigeria,pais_excluido,111857586708
31775324329,AMAN Holding,Egypt,pais_excluido,111857586707
31775360347,Pangea Professional Services,South Africa,pais_excluido,112047299717|112047969606|112053492063
31777292636,Amal Petroleum Company (AMAPETCO),Egypt,pais_excluido,111850634905
31777292649,Edita Food Industries,Egypt,pais_excluido,111858049078
31777292654,Misr Insurance,Egypt,pais_excluido,111858049075
31777292656,ROYAL Herbs,Egypt,pais_excluido,111852381983
31777292675,RAiN Chartered Accountants Inc.,South Africa,pais_excluido,
31777292709,Orascom Investment Holding,Egypt,pais_excluido,111797107104
31777292727,NamPower,Namibia,pais_excluido,111858838308
31777327243,Libera Construction (Pty) Ltd,South Africa,pais_excluido,112047612040
31777327681,Allsound Security,South Africa,pais_excluido,112047687168
31778371363,Standard Lesotho Bank,Lesotho,pais_excluido,111850704791
31778371467,"The Arab Academy For Management, Banking And Financial Sciences",Egypt,pais_excluido,111859186694
31778371626,Rural Electrification Authority,Kenya,pais_excluido,111855691186
31778407185,Seriti Green,South Africa,pais_excluido,112052235572
31780289171,Arab African International Bank,Egypt,pais_excluido,111851170917|111853452113|112056814124
31780289194,Office of the Chief Justice,South Africa,pais_excluido,111856850764
31780289198,Djezzy,Algeria,pais_excluido,111851504051
31780289200,Mubasher Trade Egypt,Egypt,pais_excluido,
31780289338,Armscor,South Africa,pais_excluido,112055542044
31780289384,Orange Money Cameroun,Cameroon,pais_excluido,111852389943
31780597112,Services SETA,South Africa,pais_excluido,
31780597128,Taysir Microfinance SA,Tunisia,pais_excluido,
31780597130,Avon HMO,Nigeria,pais_excluido,111858303534
31780597154,2B,Egypt,pais_excluido,111858097745
31780597275,Tseppas MG,Egypt,pais_excluido,
31780632180,Varilux,South Africa,pais_excluido,112047171186
31781836878,AtlantaSanad Assurance,Morocco,pais_excluido,111851343989
31781836879,Nestoil Limited,Nigeria,pais_excluido,111856794381
31781836880,Ocean Marine Solutions Ltd,Nigeria,pais_excluido,111858291566
31781836951,OBARO,South Africa,pais_excluido,111851524635
31781836952,Family Bank Ltd,Kenya,pais_excluido,111843216304|111857586820
31781836957,Asilia Africa,Tanzania,pais_excluido,111857586825
31781836969,Cathsseta,South Africa,pais_excluido,111851504430
31781837074,African Export-Import Bank (Afreximbank),Egypt,pais_excluido,111853004441
31781837077,eStream Networks,Nigeria,pais_excluido,111851989118
31781871759,Rowad Modern Engineering,Egypt,pais_excluido,112042037923|112057339693|112057749321
31781871760,B&E International,South Africa,pais_excluido,112046682196|112068921426
31781871907,Centlec,South Africa,pais_excluido,112056526766
31782297893,Lewis Group Ltd,South Africa,pais_excluido,111857577803
31782297895,Altron Document Solutions,South Africa,pais_excluido,111850707810
31782297918,Imarika Sacco,Kenya,pais_excluido,
31782457688,Bank of Baroda Tanzania,Tanzania,pais_excluido,
31782457691,Hazina Sacco Society Limited,Kenya,pais_excluido,111851513529
31782457701,Palm Hills Developments,Egypt,pais_excluido,111850488681|112057330866
31782457710,Badr University in Cairo,Egypt,pais_excluido,111843725748
31782457713,Akhnaton Trading and Distribution- EVA Group Limited,Egypt,pais_excluido,111843725752
31782457721,Bags&Sacks SARL,Democratic Republic of the Congo,pais_excluido,
31782457725,C.N.A de Seguros La previsora,Venezuela,pais_excluido,111853003051
31782457727,wanandege sacco,Kenya,pais_excluido,
31782457756,TIA,South Africa,pais_excluido,111855636911
31782457867,SNG Grant Thornton,South Africa,pais_excluido,
31782457909,Nassar Group Egypt,Egypt,pais_excluido,111851377787
31782495079,Trollope,South Africa,pais_excluido,
31782495093,Digitel South Sudan,South Sudan,pais_excluido,112057443403
31782495095,DOTS for Engineering Industries,Egypt,pais_excluido,111993069873
31782495396,"Information Technology Industry Development Agency, ITIDA",Egypt,pais_excluido,112046851981
31782612244,Misr Italia Properties,Egypt,pais_excluido,111851637138
31782652540,,,sin_nombre,
31782652813,PanAfrican Energy Tanzania Ltd (PAET),Tanzania,pais_excluido,111993449578
31782910517,Kenpoly,Kenya,pais_excluido,111851504232
31782910535,,,sin_nombre,
31782910551,EDECS,Egypt,pais_excluido,111857465267
31782910552,PLASTIMA CANALISATIONS,Morocco,pais_excluido,
31782910569,TFG (The Foschini Group),South Africa,pais_excluido,111857587597
31782910570,Independent Development Trust,South Africa,pais_excluido,111858424583
31783720362,SupriMoz,Mozambique,pais_excluido,
31784137799,Arab Developers Holding,Egypt,pais_excluido,111857416006
31784297839,AIRTEL GABON,Gabon,pais_excluido,111857566311
31784297843,Al Barid Bank,Morocco,pais_excluido,111857566307
31784297904,ENNAKL Automobiles,Tunisia,pais_excluido,111855065768
31784297997,Bank One Limited,Mauritius,pais_excluido,111852008712|111859388506
31784297998,VKB Landbou,South Africa,pais_excluido,111851732021
31784298014,Newtan Insurance limited,Tanzania,pais_excluido,
31784335274,NLNG,Nigeria,pais_excluido,112052418627|112057958744
31784335378,Ecotech Namibia,Namibia,pais_excluido,
31784335399,"EMC ""Egyptian Maintenance Company""​ - Petroleum Sector",Egypt,pais_excluido,112020039220
31784335494,Pacific Logging,Venezuela,pais_excluido,112047863854
31784335496,CDR Contracts,South Africa,pais_excluido,
31784595514,Barista,Uganda,pais_excluido,
31784595518,Development Bank Ghana,Ghana,pais_excluido,111844219814
31784595797,Port Autonome de Dakar L'Officielle,Senegal,pais_excluido,111852372625
31784631821,Mountain View,Egypt,pais_excluido,112069037380
31784631824,Bank Windhoek,Namibia,pais_excluido,112051397457
31784839705,Mangosuthu University of Technology,South Africa,pais_excluido,111859176268
31784839710,National Bank of Egypt (NBE),Egypt,pais_excluido,111851733273|111852136705|111858139574
31784839731,Filmhouse Group,Nigeria,pais_excluido,111857567502
31784839773,,,sin_nombre,
31784875135,EZZSTEEL,Egypt,pais_excluido,112057295646|112057465522
31784998762,MTN,South Africa,pais_excluido,111850625594|111853991795|111857405787
31784998766,Posta Uganda Limited,Uganda,pais_excluido,111851936431
31784998834,Siginon Group,Kenya,pais_excluido,111852018811
31784998838,Exim Bank (Tanzania) Limited,Tanzania,pais_excluido,111857587880
31784998840,Norrenberger,Nigeria,pais_excluido,111853991792
31784998937,CBH,South Africa,pais_excluido,111859450228
31785036817,,,sin_nombre,
31785037150,Ikeja Electric,Nigeria,pais_excluido,112057128501
31785037946,Facilities,Egypt,pais_excluido,
31785462922,WIOCC,Mauritius,pais_excluido,111851157518
31785463088,AfroCentric Group,South Africa,pais_excluido,111852137290
31785463137,Happy Sweet,Egypt,pais_excluido,111859196441
31785463141,Jubilee Insurance Uganda,Uganda,pais_excluido,
31785463172,Proctor & Allan (EA) Limited,Kenya,pais_excluido,111852788610
31785501029,Azule Energy,Angola,pais_excluido,112057520032
31785501184,Inelectra,Venezuela,pais_excluido,112057972907
31785611116,,,sin_nombre,
31785611149,,,sin_nombre,
31785646236,Solar Mining Services Pty Ltd,South Africa,pais_excluido,112046851977
31785646258,King Civil Engineering Contractors (Pty) Ltd.,South Africa,pais_excluido,112057376352
31785921976,Jubilee Insurance,Kenya,pais_excluido,
31785922059,Equity Bank Rwanda,Rwanda,pais_excluido,
31785922063,Sharubutu Investment (Procter & Gamble Regional Distributor),Nigeria,pais_excluido,
31785922067,MTA Maghrébine de Transport et Auxiliaire,Algeria,pais_excluido,111850674858
31785922095,Phase3 Telecom,Nigeria,pais_excluido,
31785922306,NCBA Group,Kenya,pais_excluido,111858902591
31785922307,SLOT SYSTEMS LIMITED,Nigeria,pais_excluido,
31785956871,,,sin_nombre,
31786572551,Sigma Immobili Limited,Uganda,pais_excluido,112059809064
31787044687,Nedbank Zimbabwe Limited,Zimbabwe,pais_excluido,111858807392
31787044688,Wadi Degla Holding,Egypt,pais_excluido,111857404574
31787044702,Formex Industries,South Africa,pais_excluido,111852260384
31787044704,Umoja Microfinance limited,Uganda,pais_excluido,
